Released_Year,Certificate,Runtime,IMDB_Rating,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes
1958,A,128 min,8.3,100,Alfred Hitchcock,James Stewart,Kim Novak,Barbara Bel Geddes,Tom Helmore,364368
1952,G,103 min,8.3,99,Stanley Donen,Gene Kelly,Gene Kelly,Donald O'Connor,Debbie Reynolds,218957
1952,,143 min,8.3,,Akira Kurosawa,Takashi Shimura,Nobuo Kaneko,Shin'ichi Himori,Haruo Tanaka,68463
1948,,89 min,8.3,,Vittorio De Sica,Lamberto Maggiorani,Enzo Staiola,Lianella Carell,Elena Altieri,146427
1944,Passed,107 min,8.3,95,Billy Wilder,Fred MacMurray,Barbara Stanwyck,Edward G. Robinson,Byron Barr,143525
1941,UA,119 min,8.3,100,Orson Welles,Orson Welles,Joseph Cotten,Dorothy Comingore,Agnes Moorehead,403351
1931,Passed,117 min,8.3,,Fritz Lang,Peter Lorre,Ellen Widmann,Inge Landgut,Otto Wernicke,143434
1927,,153 min,8.3,98,Fritz Lang,Brigitte Helm,Alfred Abel,Gustav Fröhlich,Rudolf Klein-Rogge,159992
1921,Passed,68 min,8.3,,Charles Chaplin,Charles Chaplin,Edna Purviance,Jackie Coogan,Carl Miller,113314
2019,UA,143 min,8.2,,Nitesh Tiwari,Sushant Singh Rajput,Shraddha Kapoor,Varun Sharma,Prateik,33893
2018,UA,138 min,8.2,,Aditya Dhar,Vicky Kaushal,Paresh Rawal,Mohit Raina,Yami Gautam,43444
2018,UA,156 min,8.2,,Prashanth Neel,Yash,Srinidhi Shetty,Ramachandra Raju,Archana Jois,36680
2018,UA,130 min,8.2,69,Peter Farrelly,Viggo Mortensen,Mahershala Ali,Linda Cardellini,Sebastian Maniscalco,377884
2017,A,115 min,8.2,88,Martin McDonagh,Frances McDormand,Woody Harrelson,Sam Rockwell,Caleb Landry Jones,432610
2015,UA,132 min,8.2,,Meghna Gulzar,Irrfan Khan,Konkona Sen Sharma,Neeraj Kabi,Sohum Shah,31142
2017,UA,167 min,8.2,,S.S. Rajamouli,Prabhas,Rana Daggubati,Anushka Shetty,Tamannaah Bhatia,75348
2019,PG,96 min,8.2,65,Sergio Pablos,Carlos Martínez López,Jason Schwartzman,J.K. Simmons,Rashida Jones,104761
2015,UA,163 min,8.2,,Nishikant Kamat,Ajay Devgn,Shriya Saran,Tabu,Rajat Kapoor,70367
2013,UA,146 min,8.2,,Vikas Bahl,Kangana Ranaut,Rajkummar Rao,Lisa Haydon,Jeffrey Ho,60701
2013,,87 min,8.2,73,Zaza Urushadze,Lembit Ulfsak,Elmo Nüganen,Giorgi Nakashidze,Misha Meskhi,40382
2013,U,186 min,8.2,,Rakeysh Omprakash Mehra,Farhan Akhtar,Sonam Kapoor,Pawan Malhotra,Art Malik,61137
2012,A,321 min,8.2,89,Anurag Kashyap,Manoj Bajpayee,Richa Chadha,Nawazuddin Siddiqui,Tigmanshu Dhulia,82365
2010,UA,134 min,8.2,,Vikramaditya Motwane,Rajat Barmecha,Ronit Roy,Manjot Singh,Ram Kapoor,42341
2012,UA,135 min,8.2,,Tigmanshu Dhulia,Irrfan Khan,Mahie Gill,Rajesh Abhay,Hemendra Dandotiya,33237
2009,R,129 min,8.2,80,Juan José Campanella,Ricardo Darín,Soledad Villamil,Pablo Rago,Carla Quevedo,193217
2011,UA,140 min,8.2,71,Gavin O'Connor,Tom Hardy,Nick Nolte,Joel Edgerton,Jennifer Morrison,435950
2010,A,138 min,8.2,63,Martin Scorsese,Leonardo DiCaprio,Emily Mortimer,Mark Ruffalo,Ben Kingsley,1129894
2009,U,96 min,8.2,88,Pete Docter,Bob Peterson,Edward Asner,Jordan Nagai,John Ratzenberger,935507
2013,A,180 min,8.2,75,Martin Scorsese,Leonardo DiCaprio,Jonah Hill,Margot Robbie,Matthew McConaughey,1187498
2007,U,153 min,8.2,68,Shimit Amin,Shah Rukh Khan,Vidya Malvade,Sagarika Ghatge,Shilpa Shukla,74129
2007,A,158 min,8.2,93,Paul Thomas Anderson,Daniel Day-Lewis,Paul Dano,Ciarán Hinds,Martin Stringer,517359
2006,UA,118 min,8.2,98,Guillermo del Toro,Ivana Baquero,Ariadna Gil,Sergi López,Maribel Verdú,618623
2010,U,103 min,8.2,92,Lee Unkrich,Tom Hanks,Tim Allen,Joan Cusack,Ned Beatty,757032
2005,A,132 min,8.2,62,James McTeigue,Hugo Weaving,Natalie Portman,Rupert Graves,Stephen Rea,1032749
2006,UA,167 min,8.2,,Rakeysh Omprakash Mehra,Aamir Khan,Soha Ali Khan,Siddharth,Sharman Joshi,111937
2005,U,122 min,8.2,,Sanjay Leela Bhansali,Amitabh Bachchan,Rani Mukerji,Shernaz Patel,Ayesha Kapoor,33354
2005,UA,140 min,8.2,70,Christopher Nolan,Christian Bale,Michael Caine,Ken Watanabe,Liam Neeson,1308302
2004,U,210 min,8.2,,Ashutosh Gowariker,Shah Rukh Khan,Gayatri Joshi,Kishori Ballal,Smit Sheth,83005
2004,R,156 min,8.2,82,Oliver Hirschbiegel,Bruno Ganz,Alexandra Maria Lara,Ulrich Matthes,Juliane Köhler,331308
2004,U,119 min,8.2,80,Hayao Miyazaki,Chieko Baishô,Takuya Kimura,Tatsuya Gashûin,Akihiro Miwa,333915
2001,UA,135 min,8.2,72,Ron Howard,Russell Crowe,Ed Harris,Jennifer Connelly,Christopher Plummer,848920
2000,U,156 min,8.2,,Priyadarshan,Akshay Kumar,Sunil Shetty,Paresh Rawal,Tabu,57057
1998,A,107 min,8.2,66,Guy Ritchie,Jason Flemyng,Dexter Fletcher,Nick Moran,Jason Statham,535216
1997,A,138 min,8.2,90,Curtis Hanson,Kevin Spacey,Russell Crowe,Guy Pearce,Kim Basinger,531967
1996,,128 min,8.2,,Yavuz Turgul,Sener Sen,Ugur Yücel,Sermin Hürmeriç,Yesim Salkim,64118
1995,A,170 min,8.2,76,Michael Mann,Al Pacino,Robert De Niro,Val Kilmer,Jon Voight,577113
1995,A,178 min,8.2,73,Martin Scorsese,Robert De Niro,Sharon Stone,Joe Pesci,James Woods,466276
1994,U,160 min,8.2,,Rajkumar Santoshi,Aamir Khan,Salman Khan,Raveena Tandon,Karisma Kapoor,49300
1992,A,130 min,8.2,85,Clint Eastwood,Clint Eastwood,Gene Hackman,Morgan Freeman,Richard Harris,375935
1989,U,127 min,8.2,65,Steven Spielberg,Harrison Ford,Sean Connery,Alison Doody,Denholm Elliott,692366
1988,R,142 min,8.2,,Emir Kusturica,Davor Dujmovic,Bora Todorovic,Ljubica Adzovic,Husnija Hasimovic,26402
1988,U,86 min,8.2,86,Hayao Miyazaki,Hitoshi Takagi,Noriko Hidaka,Chika Sakamoto,Shigesato Itoi,291180
1988,A,132 min,8.2,72,John McTiernan,Bruce Willis,Alan Rickman,Bonnie Bedelia,Reginald VelJohnson,793164
1985,U,162 min,8.2,96,Akira Kurosawa,Tatsuya Nakadai,Akira Terao,Jinpachi Nezu,Daisuke Ryû,112505
1980,A,129 min,8.2,89,Martin Scorsese,Robert De Niro,Cathy Moriarty,Joe Pesci,Frank Vincent,321860
1979,U,162 min,8.2,,Andrei Tarkovsky,Alisa Freyndlikh,Aleksandr Kaydanovskiy,Anatoliy Solonitsyn,Nikolay Grinko,116945
1978,U,99 min,8.2,,Ingmar Bergman,Ingrid Bergman,Liv Ullmann,Lena Nyman,Halvar Björk,26875
1976,PG,177 min,8.2,,Moustapha Akkad,Anthony Quinn,Irene Papas,Michael Ansara,Johnny Sekka,43885
1975,U,204 min,8.2,,Ramesh Sippy,Sanjeev Kumar,Dharmendra,Amitabh Bachchan,Amjad Khan,51284
1975,PG,91 min,8.2,91,Terry Gilliam,Terry Jones,Graham Chapman,John Cleese,Eric Idle,500875
1963,U,172 min,8.2,86,John Sturges,Steve McQueen,James Garner,Richard Attenborough,Charles Bronson,224730
1962,U,129 min,8.2,88,Robert Mulligan,Gregory Peck,John Megna,Frank Overton,Rosemary Murphy,293811
1961,,110 min,8.2,,Akira Kurosawa,Toshirô Mifune,Eijirô Tôno,Tatsuya Nakadai,Yôko Tsukasa,111244
1961,A,179 min,8.2,60,Stanley Kramer,Spencer Tracy,Burt Lancaster,Richard Widmark,Marlene Dietrich,69458
1959,U,121 min,8.2,98,Billy Wilder,Marilyn Monroe,Tony Curtis,Jack Lemmon,George Raft,243943
1957,U,91 min,8.2,88,Ingmar Bergman,Victor Sjöström,Bibi Andersson,Ingrid Thulin,Gunnar Björnstrand,96381
1957,A,96 min,8.2,88,Ingmar Bergman,Max von Sydow,Gunnar Björnstrand,Bengt Ekerot,Nils Poppe,164939
1955,,118 min,8.2,97,Jules Dassin,Jean Servais,Carl Möhner,Robert Manuel,Janine Darcey,28810
1954,A,105 min,8.2,75,Alfred Hitchcock,Ray Milland,Grace Kelly,Robert Cummings,John Williams,158335
1953,U,136 min,8.2,,Yasujirô Ozu,Chishû Ryû,Chieko Higashiyama,Sô Yamamura,Setsuko Hara,53153
1950,,88 min,8.2,98,Akira Kurosawa,Toshirô Mifune,Machiko Kyô,Masayuki Mori,Takashi Shimura,152572
1950,Passed,138 min,8.2,98,Joseph L. Mankiewicz,Bette Davis,Anne Baxter,George Sanders,Celeste Holm,120539
1948,Passed,126 min,8.2,98,John Huston,Humphrey Bogart,Walter Huston,Tim Holt,Bruce Bennett,114304
1942,Passed,99 min,8.2,86,Ernst Lubitsch,Carole Lombard,Jack Benny,Robert Stack,Felix Bressart,29915
1925,Passed,95 min,8.2,,Charles Chaplin,Charles Chaplin,Mack Swain,Tom Murray,Henry Bergman,101053
1924,Passed,45 min,8.2,,Buster Keaton,Buster Keaton,Kathryn McGuire,Joe Keaton,Erwin Connelly,41985
2019,R,122 min,8.1,95,Céline Sciamma,Noémie Merlant,Adèle Haenel,Luàna Bajrami,Valeria Golino,63134
2016,UA,136 min,8.1,,Aniruddha Roy Chowdhury,Taapsee Pannu,Amitabh Bachchan,Kirti Kulhari,Andrea Tariang,39216
2016,16,130 min,8.1,78,Naoko Yamada,Miyu Irino,Saori Hayami,Aoi Yûki,Kenshô Ono,47708
2016,TV-MA,106 min,8.1,,Oriol Paulo,Mario Casas,Ana Wagener,Jose Coronado,Bárbara Lennie,141516
2016,A,145 min,8.1,84,Chan-wook Park,Kim Min-hee,Jung-woo Ha,Cho Jin-woong,Moon So-Ri,113649
2014,R,139 min,8.1,74,Xavier Dolan,Anne Dorval,Antoine Olivier Pilon,Suzanne Clément,Patrick Huard,50700
